ma20_angle,ma60_angle,ma_dispersion,ma_converging,ma_diverging,ma_bull_strength,hh_ratio,hl_ratio,trend_up_strengthen,trend_slope,trend_angle,pct_30,pct_60,adx,vol_ma5_ratio,vol_ma20_ratio,vol_trend,price_vol_match,vol_surge,channel_width,break_20high,break_60high,pullback_support,score,rating,reasons,code,name,price,pct_change,vol,amount
-3.65,-13.41,20.66,False,False,3,0.78,0.83,True,0,0,9.69,-13.5,64.35,0.67,1.4,False,False,False,32.51,False,False,False,8,B+ 趋势偏多,"['高低点持续抬升', 'ADX>50(极强趋势)', '30日温和上涨']",sh603655,朗博科技,34.54,5.24,31398,2.0
-8.77,2.69,6.31,True,False,2,0.39,0.5,False,0,0,-17.29,-29.43,30.12,1.3,1.38,False,False,False,20.89,False,False,False,1,D 趋势向下,"['MA60微向上', 'ADX>30(有趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sz002929,润建股份,57.01,3.09,235792,2.0
-18.45,34.69,6.81,False,False,2,0.44,0.56,False,0,0,-31.76,-12.54,41.59,1.15,0.87,True,True,False,26.42,False,False,False,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '30日下跌>10%']",sh603938,三孚股份,44.22,4.0,145331,2.0
-6.9,-16.06,7.24,True,False,2,0.56,0.56,False,0,0,-15.81,-17.27,53.14,1.01,0.76,True,True,False,18.37,False,False,True,4,C 趋势偏弱,"['ADX>50(极强趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sz002738,中矿资源,54.1,3.24,206632,2.0
-16.79,8.35,1.96,False,True,0,0.44,0.5,False,0,0,-22.81,-7.81,26.6,0.95,0.67,True,False,False,20.2,False,False,False,2,D 趋势向下,"['MA60角度>5度', '均线发散(趋势加速)', '30日下跌>10%']",sz002897,意华股份,59.98,2.88,81395,2.0
-19.37,30.15,7.44,False,False,2,0.44,0.72,False,0,0,-23.19,0.11,38.28,0.93,0.72,True,False,False,24.05,False,False,False,1,D 趋势向下,"['MA60角度>5度', 'ADX>30(有趋势)', '30日下跌>10%']",sh603203,快克智能,45.09,3.87,76525,2.0
-11.63,-1.34,12.41,True,False,2,0.83,0.67,True,0,0,-18.48,-3.28,37.34,1.01,0.97,True,True,False,23.05,False,False,True,6,B 趋势中性,"['高低点持续抬升', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sh600301,华锡有色,50.45,3.44,128379,2.0
-13.26,21.59,4.37,False,True,2,0.5,0.44,False,0,0,-5.76,6.82,33.24,2.42,3.59,False,True,True,30.25,False,False,False,6,B 趋势中性,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)']",sh603890,春秋电子,22.09,8.02,935222,2.0
-14.76,-7.8,1.76,False,True,0,0.5,0.5,False,0,0,-20.08,-26.05,28.42,1.01,0.83,True,False,False,22.5,False,False,False,0,D 趋势向下,"['均线发散(趋势加速)', '30日下跌>10%']",sz002837,英维克,57.09,2.96,364903,2.0
31.37,-4.63,48.22,True,False,5,0.89,0.83,True,0,0,129.44,90.15,80.66,0.97,1.2,False,False,False,46.92,False,False,False,11,A 趋势良好,"['MA20角度>10度(强趋势)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '30日涨幅>50%(过热)', '均线收敛(关注变盘)']",sz002827,高争民爆,56.74,2.98,185638,2.0
-6.21,-6.92,4.12,True,False,2,0.67,0.67,True,0,0,-12.17,-15.68,52.29,1.35,1.53,False,True,True,13.9,False,False,True,7,B 趋势中性,"['高低点持续抬升', 'ADX>50(极强趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sh600111,北方稀土,42.66,4.0,1059421,2.0
4.33,0.26,0.42,False,True,4,0.61,0.39,False,0,0,11.69,3.34,61.11,1.52,1.03,True,True,False,4.8,False,False,True,12,A+ 趋势强,"['MA20微向上', 'MA60微向上', '均线发散(趋势加速)', 'ADX>50(极强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)']",sh600941,中国移动,97.71,1.66,137922,2.0
-13.69,18.63,8.36,True,False,2,0.5,0.72,False,0,0,-14.18,-1.31,41.54,0.81,0.97,False,False,False,27.9,False,False,False,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sz002957,科瑞技术,41.28,4.03,201416,2.0
2.37,3.28,12.25,False,True,5,0.72,0.78,True,0,0,22.61,17.72,62.05,0.87,1.51,False,False,True,25.23,False,False,False,17,A++ 趋势极强,"['MA20微向上', 'MA60微向上', '均线发散(趋势加速)', '均线完美多头', '高低点持续抬升', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sz002870,香山股份,48.0,3.43,68381,2.0
-17.11,17.36,16.94,True,False,2,0.39,0.5,False,0,0,-23.61,20.91,49.12,0.67,0.89,False,False,False,41.07,False,False,True,4,C 趋势偏弱,"['MA60角度>5度', 'ADX>40(强趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sz000657,中钨高新,68.29,2.38,793836,2.0
-0.72,-13.86,4.68,False,True,2,0.56,0.72,False,0,0,4.13,-15.12,62.61,2.45,3.47,False,True,True,14.36,False,False,False,9,B+ 趋势偏多,"['均线发散(趋势加速)', 'ADX>50(极强趋势)', '趋势中放量', '30日温和上涨']",sz002190,成飞集成,25.21,6.73,263977,2.0
-19.03,-5.26,9.34,False,False,2,0.56,0.61,False,0,0,-30.71,-24.27,21.24,0.94,0.71,True,False,False,26.44,False,False,False,-2,D 趋势向下,['30日下跌>10%'],sh603163,圣晖集成,86.89,1.85,25399,2.0
-17.14,9.9,6.8,False,True,2,0.56,0.61,False,0,0,-22.19,2.55,32.56,1.29,1.06,True,True,False,27.5,False,False,False,4,C 趋势偏弱,"['MA60角度>5度', '均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sz002824,和胜股份,24.96,6.67,192302,2.0
